id,furniture_id,style,room,name,type,price,image_link,purchase_link
31,SF005,SCANDINAVIAN,LIVING ROOM,LILLEHEM_2,SOFA,2070,https://www.dropbox.com/scl/fi/kilgq0gz4ulyjhq3wiqpe/LILLEHEM-SOFA.png?rlkey=0l6ih2y4se85ip7lrr2u2q0ql&st=flxxy305&dl=1,https://www.ikea.com/my/en/p/lillehem-3-seat-modular-sofa-w-chaise-longue-gunnared-dark-grey-wood-s49570409/
32,SF006,SCANDINAVIAN,LIVING ROOM,VIMLE,SOFA,2775,https://www.dropbox.com/scl/fi/3ycjq1n6tolot58qe6n2n/VIMLE-SOFA.png?rlkey=9s2xg7kc3jj273dc6q81vn0nq&st=cu0qnue2&dl=1,https://www.ikea.com/my/en/p/vimle-3-seat-sofa-gunnared-medium-grey-s99399029/
33,CT007,SCANDINAVIAN,LIVING ROOM,BORGEBY,COFFEE TABLE,399,https://www.dropbox.com/scl/fi/cdjmto4fbkqyzph6pxgxq/BORGEBY-COFFEE-TABLE.png?rlkey=pwuvi2e8dza0oesbksdmha686&st=y9vdio36&dl=1,https://www.ikea.com/my/en/p/borgeby-coffee-table-birch-veneer-70449402/
34,CT008,SCANDINAVIAN,LIVING ROOM,MOXBODA,COFFEE TABLE,299,https://www.dropbox.com/scl/fi/9ah30muyfqdsed4khflof/MOXBODA-COFFEE-TABLE.png?rlkey=ige8sdio9ytfo8fk3r2wbxqmx&st=3jsu3vcr&dl=1,https://www.ikea.com/my/en/p/moxboda-coffee-table-foldable-bamboo-90543088/
35,CT009,SCANDINAVIAN,LIVING ROOM,JAKOBSFORS_2,COFFEE TABLE,599,https://www.dropbox.com/scl/fi/vufwvr1ud5z5909kzzt9s/JAKOBSFORS-COFFEE-TABLE.png?rlkey=wle3d4krxbwsdi2b9b17xrijp&st=uhg3qj2j&dl=1,https://www.ikea.com/my/en/p/jakobsfors-coffee-table-dark-brown-stained-oak-veneer-30515168/
36,DR001,SCANDINAVIAN,LIVING ROOM,KALLAX,DRAWER,85,https://www.dropbox.com/scl/fi/1bj828a7kh6jg30y6hsvd/KALLAX-DRAWER.png?rlkey=l0x98brt4hksje2j2qvb7jumt&st=48rmf91e&dl=1,https://www.ikea.com/my/en/p/kallax-insert-with-2-drawers-white-stained-oak-effect-80362912/#content
37,DR002,SCANDINAVIAN,LIVING ROOM,KALLAX_2,DRAWER,399,https://www.dropbox.com/scl/fi/vxe629gvpzt7rcolke59e/KALLAX-2.png?rlkey=i5o8bjxra024kpn2boiau8y1g&st=sa77sbk3&dl=1,https://www.ikea.com/my/en/p/kallax-shelving-unit-with-2-inserts-white-s59278294/
38,DR003,SCANDINAVIAN,LIVING ROOM,KALLAX_3,DRAWER,299,https://www.dropbox.com/scl/fi/il77xb8l5trwal01x17hl/KALLAX-3.png?rlkey=alldv7b8khfbw2de5htw95c5f&st=aywykql6&dl=1,https://www.ikea.com/my/en/p/kallax-tv-bench-white-stained-oak-effect-00562095/#content
39,RG001,SCANDINAVIAN,BEDROOM,LOHALS,RUG,130,https://www.dropbox.com/scl/fi/6s7r99g04mx3fyfhmyrgl/lohals-rug.png?rlkey=f3filumhgv3ou6tkw9hg16i2f&st=kl104x2z&dl=1,https://www.ikea.com/my/en/p/lohals-rug-flatwoven-natural-00307482/
40,RG002,SCANDINAVIAN,BEDROOM,VAMDRUP,RUG,499,https://www.dropbox.com/scl/fi/0o3kysfd864gtrie2bixz/vamdrup-rug.png?rlkey=ucd9dft9z9qqeernx30g009k4&st=fvovbay4&dl=1,https://www.ikea.com/my/en/p/vamdrup-rug-flatwoven-handmade-multicolour-80507873/
